question_id,question,chunk_ids,answer
q1,What is Multiple-Response Regression?,,Multiple-Response Regression models several responses against a set of predictor variables while considering response intercorrelations.
q2,What is an equity fund?,,An equity fund is a pooled investment that puts money predominantly in stocks listed on major exchanges.[1]
q3,What is return on equity?,,ROE is a measure of an equity fund’s profitability and how efficiently it generates those profits.[3] It is calculated by dividing net income by shareholders’ equity.[3]
q4,What is the sustainability score?,,"The sustainability score measures an equity fund’s sustainability performance and how effectively it mitigates environmental, social, and governance (ESG) risks across its portfolio."
q5,How was imputation carried out on the equity fund dataset?,,Random forest imputation was used to fill in the missing categorical and ordinal data. Linear model imputation was used to fill in missing numerical features because it uses the relationships between variables rather than relying on simpler approaches such as mean imputation.
q6,What is Mardia's Test for Multivariate Normality?,,"Mardia’s test assesses multivariate skewness and kurtosis. The null and alternative hypotheses of Mardia’s test are that the responses are and are not multivariate normally distributed, respectively. Therefore, if either the kurtosis or skewness statistic deviates significantly from their expected values under multivariate normality, then the null hypothesis is rejected.[8]"
q7,What is single-response regression?,,Single-Response Regression models one response against a set of predictor variables while considering response intercorrelations.
q8,What assumptions does single-response linear regression have?,,"They are linearity, homoscedasticity, normality, and independence of its variables."
q9,Why can single-response linear regression not be extended to cover multiple correlated responses?,,"If this method were extended to model m responses using m independent single-response regression models, it would ignore the covariance between responses, leading to sub-optimal predictions when responses are correlated."
q10,What is the difference between single-response linear regression and multiple-response linear regression?,,"The first key difference between MRLR and SRLR lies in the structures of the responses, coefficients and errors. These are now matrices rather than vectors, reflecting that the responses are modelled together. The second key difference between SRLR and MRLR lies in the structure of the error terms.
MRLR allows for correlation between errors across different responses within the same observation."
q11,What assumptions does multiple-response linear regression have?,,"It comes with a few underlying assumptions, which can be extended from SRLR. However now there is a covariance matrix of errors."
q12,What is forward stepwise selection?,,"Forward stepwise selection starts with a model having no predictors and adds the predictor that produces the largest improvement in model fit. Model fit is usually determined using a selection criterion, for example, the Akaike Information Criterion (AIC), Bayesian Information Criterion (BIC), or adjusted R2 . At each step, the variable that contributes most significantly to this criterion is added."
