question_id,question,chunk_ids,answer,scores,chunk_sources,chunk_preview,needs_review
q1,What is Multiple-Response Regression?,3940;3970;29,Multiple-Response Regression models several responses against a set of predictor variables while considering response intercorrelations.,0.686;0.597;0.567,Raul_Unnithan_Dissertation.pdf;Raul_Unnithan_Dissertation.pdf;Chapter 7.7.pdf,[3940] Chapter 1 Introduction 1.1 Background 1.1.1 Multiple-Response Regression Single-response regression models one response against a set of predictor variables. Th… || [3970] 3.1.2 Multiple-Response Linear Regression Multiple-response linear regression (MRLR) is the most basic model in MRR. Its general form is: Y(n×m) = X(n×p) B(p×m)… || [29] Multivariate Multiple Regression Predictions from Multivariate Multiple Regressions Suppose the model with normal errors has been fit and checked for any inadeq…,no
q2,What is an equity fund?,3941;3952;4110,An equity fund is a pooled investment that puts money predominantly in stocks listed on major exchanges.[1],0.781;0.578;0.523,Raul_Unnithan_Dissertation.pdf;Raul_Unnithan_Dissertation.pdf;Raul_Unnithan_Dissertation.pdf,"[3941] An equity fund is a pooled investment that puts money predominantly in stocks listed on major exchanges.1 They provide investors with several benefits, such as … || [3952] management fees was removed because it is a significant component of ongoing cost. 2.2 Variable Explanation category gives the type of each equity fund. The cle… || [4110] with independent observations, multivariate normality between responses, full rank in the predictor matrix, and a moderate degree of correlation between respons…",no
q3,What is return on equity?,3789;3941;3955,ROE is a measure of an equity fund’s profitability and how efficiently it generates those profits.[3] It is calculated by dividing net income by shareholders’ equity.[3],0.592;0.465;0.452,Profitability and Sustainability.pdf;Raul_Unnithan_Dissertation.pdf;Raul_Unnithan_Dissertation.pdf,"[3789] shown in Table 1. The main statistical features of the firms considered are summed up in Table2. The definitions of the variables used is provided below:  Retu… || [3941] An equity fund is a pooled investment that puts money predominantly in stocks listed on major exchanges.1 They provide investors with several benefits, such as … || [3955] eventually.12 Therefore, a lower equity style score means the stock is more of a value stock, and a higher equity style score indicates more of a growth stock. …",no
q4,What is the sustainability score?,3943,"The sustainability score measures an equity fund’s sustainability performance and how effectively it mitigates environmental, social, and governance (ESG) risks across its portfolio.",1,Raul_Unnithan_Dissertation.pdf,"[3943] CHAPTER 1. INTRODUCTION distribution costs.4 The higher the ROE, the more efficiently an equity fund is generating income from its stocks it has invested in. 5 …",no
q5,How was imputation carried out on the equity fund dataset?,4111;3950;3899,Random forest imputation was used to fill in the missing categorical and ordinal data. Linear model imputation was used to fill in missing numerical features because it uses the relationships between variables rather than relying on simpler approaches such as mean imputation.,0.615;0.571;0.589,Raul_Unnithan_Dissertation.pdf;Raul_Unnithan_Dissertation.pdf;Random Forest Imputation.pdf,"[4111] CHAPTER 7. CONCLUSION Imputing missing data presented another challenge. In this report, linear model imputation was used for numerical variables and random for… || [3950] Chapter 2 Exploratory Data Analysis This chapter prepares the equity fund dataset for modelling. It begins by describing the master dataset and the initial prep… || [3899] 25% across observations. MAR was introduced by setting the probability of X being missing to 25% according to a standard right-tailed logistic function in Y, th…",no
q6,What is Mardia's Test for Multivariate Normality?,4129;2489;3963,"Mardia’s test assesses multivariate skewness and kurtosis. The null and alternative hypotheses of Mardia’s test are that the responses are and are not multivariate normally distributed, respectively. Therefore, if either the kurtosis or skewness statistic deviates significantly from their expected values under multivariate normality, then the null hypothesis is rejected.[8]",0.709;0.708;0.606,Raul_Unnithan_Dissertation.pdf;Mardia's Test for MVN.pdf;Raul_Unnithan_Dissertation.pdf,"[4129] APPENDIX A. APPENDICES Finally, apply the Pearson Correlation Formula. The Pearson correlation coefficient r is given by r = P(xi − ¯x)(yi − ¯y)pP(xi − ¯x)2 P(y… || [2489] Psychology Science, Volume 46, 2004 (2), p. 243-258 Testing the assumption of multivariate normality ALEXANDER VON EYE 1 , G. ANNE BOGAT Abstract Methods of ass… || [3963] CHAPTER 2. EXPLORATORY DATA ANALYSIS Finally, this left a cleaned equity fund dataset with 1248 rows, each with individual equity fund information. In addition,…",no
q7,What is single-response regression?,3940;3970;3966,Single-Response Regression models one response against a set of predictor variables while considering response intercorrelations.,0.629;0.524;0.515,Raul_Unnithan_Dissertation.pdf;Raul_Unnithan_Dissertation.pdf;Raul_Unnithan_Dissertation.pdf,"[3940] Chapter 1 Introduction 1.1 Background 1.1.1 Multiple-Response Regression Single-response regression models one response against a set of predictor variables. Th… || [3970] 3.1.2 Multiple-Response Linear Regression Multiple-response linear regression (MRLR) is the most basic model in MRR. Its general form is: Y(n×m) = X(n×p) B(p×m)… || [3966] Chapter 3 Linear Regression This chapter introduces the methodology of the first MRR model, multiple-response linear regression, by starting with single-respons…",no
q8,What assumptions does single-response linear regression have?,3968,"They are linearity, homoscedasticity, normality, and independence of its variables.",1,Raul_Unnithan_Dissertation.pdf,"[3968] ˆβOLS = (X⊤X)−1X⊤Y. The model’s accuracy can then be evaluated using metrics such as the R2-value, which measures the proportion of variance in the dependent va…",no
q9,Why can single-response linear regression not be extended to cover multiple correlated responses?,3940;3975;3312,"If this method were extended to model m responses using m independent single-response regression models, it would ignore the covariance between responses, leading to sub-optimal predictions when responses are correlated.",0.585;0.510;0.529,Raul_Unnithan_Dissertation.pdf;Raul_Unnithan_Dissertation.pdf;Multi-Target XGBoost.pdf,"[3940] Chapter 1 Introduction 1.1 Background 1.1.1 Multiple-Response Regression Single-response regression models one response against a set of predictor variables. Th… || [3975] CHAPTER 3. LINEAR REGRESSION Normality also holds here, but it differs slightly. If we look at using several independent singleresponse models, each error term … || [3312] 2While XGBoost (Chen and Guestrin, 2016) and CatBoost (Prokhorenkova et al., 2018; Dorogush et al., 2017) allow modelling of several responses, with a separate …",no
q10,What is the difference between single-response linear regression and multiple-response linear regression?,3940;3970;3966,"The first key difference between MRLR and SRLR lies in the structures of the responses, coefficients and errors. These are now matrices rather than vectors, reflecting that the responses are modelled together. The second key difference between SRLR and MRLR lies in the structure of the error terms.
MRLR allows for correlation between errors across different responses within the same observation.",0.619;0.574;0.557,Raul_Unnithan_Dissertation.pdf;Raul_Unnithan_Dissertation.pdf;Raul_Unnithan_Dissertation.pdf,"[3940] Chapter 1 Introduction 1.1 Background 1.1.1 Multiple-Response Regression Single-response regression models one response against a set of predictor variables. Th… || [3970] 3.1.2 Multiple-Response Linear Regression Multiple-response linear regression (MRLR) is the most basic model in MRR. Its general form is: Y(n×m) = X(n×p) B(p×m)… || [3966] Chapter 3 Linear Regression This chapter introduces the methodology of the first MRR model, multiple-response linear regression, by starting with single-respons…",no
